script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,values.ospan,values.totalcorrectletters,values.mathtotalerrors,values.mathspeederrors,values.mathaccerrors,Elapsed time (minutes)
52618,09:55:06,319,812164859,1065489,mac,1,59,69,4,1,3,17.75815
52818,18:20:04,303,139045380,897021,win,1,54,68,4,2,2,14.95035
52818,19:14:31,311,596919153,1067708,win,1,39,66,5,1,4,17.79513333
52818,21:19:34,306,156052383,1288766,win,1,20,53,1,0,1,21.47943333
53018,11:03:42,304,237640313,1052951,win,1,38,61,2,0,2,17.54918333
53118,20:43:28,307,99775863,1197350,mac,1,61,67,3,1,2,19.95583333
60118,10:06:45,308,111819482,1203967,mac,1,55,64,1,0,1,20.06611667
60118,11:30:34,309,216207901,1134413,win,1,48,63,3,1,2,18.90688333
60118,20:50:46,310,108362735,1244349,win,1,38,54,7,2,5,20.73915
60318,14:38:54,302,22221730,2249449,mac,1,56,63,1,0,1,37.49081667
60518,10:35:05,314,825806262,1081713,mac,1,59,71,1,1,0,18.02855
60518,18:21:28,312,562849526,903471,win,1,51,69,1,0,1,15.05785
60718,00:33:34,313,755204785,761800,win,1,62,67,1,0,1,12.69666667
60818,11:42:42,315,844789208,1403705,win,1,19,46,3,0,3,23.39508333
61318,19:51:34,317,279494365,994910,win,1,57,67,0,0,0,16.58183333
62718,09:04:28,324,185113572,1231130,win,1,48,63,3,0,3,20.51883333
62718,11:56:01,322,496012234,1293418,win,1,8,24,7,1,6,21.55696667
62718,20:55:34,323,469189834,788045,win,1,58,70,4,0,4,13.13408333
62718,20:54:22,320,756416157,1059452,win,1,40,56,8,2,6,17.65753333
53018,17:44:37,305,176185390,,win,,62,71,6,3,3,