Sub,Task,CorrGo,CorrNoGo,RTGo,dp,crit,ON,MW,MB
302,1,0.98098,0.72701,0.52397,2.1459,-0.73527,0.63333,0.36667,0
303,1,0.99014,0.42938,0.53028,1.1738,-1.2548,0.9,0.1,0
304,1,0.98724,0.73407,0.51639,2.2348,-0.80415,0.33333,0.25,0.4
305,1,0.96472,0.68901,0.48905,1.8531,-0.65761,0.43333,0.23333,0.28333
306,1,0.97283,0.39024,0.61284,0.99735,-1.1014,0.66667,0.23333,0.1
307,1,0.98626,0.70879,0.41776,2.0932,-0.82744,0.2,0.8,0
308,1,0.98001,0.60563,0.47722,1.6271,-0.89304,0.33333,0.53333,0.13333
309,1,0.98644,0.72571,0.39307,2.1822,-0.80492,0.41667,0.48333,0.1
310,1,0.94908,0.58611,0.61752,1.4016,-0.70923,0.083333,0.46667,0.31667
311,1,0.96663,0.77839,0.54194,2.3257,-0.53333,0.48333,0.25,0.25
312,1,0.97567,0.86228,0.51336,3.1353,-0.44051,0.85,0.15,0
313,1,0.99034,0.6584,0.4837,1.8922,-0.96556,0.25,0.55,0.2
314,1,0.97431,0.87465,0.61355,3.2678,-0.39978,1,0,0
315,1,0.97153,0.74148,0.57453,2.1503,-0.62793,0.65,0.31667,0.033333
317,1,0.9885,0.60056,0.4002,1.6597,-1.0093,0.38333,0.55,0.066667
319,1,0.98433,0.70027,0.46939,2.037,-0.81374,0.33333,0.53333,0.13333
320,1,0.98377,0.72452,0.47144,2.1547,-0.7712,0.45,0.33333,0.21667
322,1,0.97103,0.45198,0.52498,1.1376,-1.0084,0.25,0.71667,0.033333
323,1,0.92779,0.57534,0.45558,1.2738,-0.63475,0.31667,0.26667,0.38333
324,1,0.98528,0.75,0.59581,2.3106,-0.75151,0.76667,0.2,0.033333