,SubID,Corr,D2...Age,DASS_Depression,DASS_Anxiety,DASS_Stress,ESS,MWQ_mean,MiniIPIP_Neuroticism,MiniIPIP_Extraversion,MiniIPIP_Openness,MiniIPIP_Agreeableness,MiniIPIP_Conscientiousness,PANAS_Positive_Affect,PANAS_Negative_Affect,ASRS_ptA_num,BRS_mean,WDQ_Autonomy,WDQ_Task_Variety,WDQ_Task_Significance,WDQ_Job_Complexity,WDQ_Information_Processing,WDQ_Problem_Solving,WDQ_Skill_Variety,WDQ_Specialization,WDQ_Social_Support,EES_Emotional_Engagement,EES_Behavioural_Engagement,EES_Cognitive_Engagement,EES_Employee_Engagement,Total_Levels_Increased_33_mths,Org.Tenure,Position.Tenure,FTE,Promotions_per_year,EOY2017Rating_int,RT
SubID,,0.258850992,0.450398064,-0.722950369,-0.525307921,,-0.042600674,-0.72013786,-0.541237068,0.795224733,-0.545820723,0.803887256,0.611672817,0.66610952,-0.498592404,-0.828577958,0.536642332,,0.276495558,,-0.159768956,,0.269059989,0.678441936,0.686928916,0.357151502,0.417801857,,,0.316280939,-0.723286599,,0.239649401,-0.638842819,,,0.055105045
Corr,0.258850992,,0.278552481,-0.670423459,-0.682720191,,0.201163795,-0.360742673,-0.741929808,,,,0.051214248,0.526946265,-0.774981756,-0.467504421,0.834257831,0.614048614,0.589139052,,,0.306589472,0.575379213,0.45990478,0.382159319,,0.312324534,,0.178915726,,,,-0.256803026,,-0.307850865,,-0.258230699
D2...Age,,0.278552481,1,-0.704658756,-0.507623826,,0.235701312,-0.362890368,,0.306355986,-0.38643557,,0.212970269,0.494234902,-0.547692117,-0.479368957,0.424411899,0.691269097,0.463342937,,0.043631505,,0.07898753,0.495358267,0.445512723,0.473897501,0.634177993,,0.167639384,,-0.22324696,,-0.27313554,,,,-0.153550189
DASS_Depression,-0.722950369,-0.670423459,-0.704658756,1,0.868109991,,-0.146977264,0.76050238,0.876451187,-0.697718931,0.367664181,-0.69299167,-0.501644871,-0.858293904,0.899956348,0.85316802,-0.853682642,-0.863434971,-0.601740427,,0.058947224,-0.548929973,-0.474374448,-0.763551997,-0.754586882,-0.666995306,-0.55798749,,-0.073345454,-0.561789944,0.645370167,,-0.034755879,0.820145192,0.695604878,,0.125283851
DASS_Anxiety,-0.525307921,-0.682720191,-0.507623826,0.868109991,1,,-0.261090833,0.63565105,0.809446287,-0.592530279,0.375591064,-0.595326965,-0.567658755,-0.662514059,0.876557942,0.701502617,-0.732988294,-0.67511577,-0.395077976,,,-0.216973867,-0.408571531,-0.53621205,-0.620064756,,,,,-0.200601723,0.618508724,,-0.323243252,0.696341618,0.661903245,,-0.059691864
DASS_Stress,-0.625775438,-0.710139755,-0.427926879,0.882462949,0.937717073,,-0.184378279,0.745083315,0.802359032,,0.319291286,-0.585087189,-0.611275121,-0.692754048,0.886213967,0.793573185,-0.826339049,-0.635979636,-0.326750854,-0.402942929,,-0.194758947,-0.35475987,-0.533268976,-0.611880497,,,,,-0.249390258,,,-0.269846249,0.714119251,0.786125884,,-0.104930763
ESS,,,,,,-0.184378279,1,,,,,,,-0.211787483,,,,,,,,,,,0.107833368,,-0.169588729,-0.332239752,,,,,,,,,0.17830218
MWQ_mean,-0.72013786,-0.360742673,-0.362890368,0.76050238,0.63565105,0.745083315,0.358390278,1,0.513810169,,0.249767336,-0.73491117,-0.759348055,-0.766173775,0.537048605,0.940978881,-0.584118468,-0.637450096,-0.33038976,,0.307891197,-0.417651804,-0.337240753,-0.673387501,-0.664505887,-0.593900006,-0.506241149,,-0.147962562,-0.470515751,,,-0.177119835,0.751623053,,,-0.05375923
MiniIPIP_Neuroticism,-0.541237068,-0.741929808,-0.468654746,0.876451187,0.809446287,,-0.314569699,0.513810169,1,,0.16645387,,-0.231603687,-0.792040842,0.928489664,0.62078028,-0.910004651,-0.753538607,-0.617943161,,-0.137008673,-0.464747638,-0.64121375,-0.664994126,-0.678007512,,-0.324030834,,-0.028720219,-0.412740628,,,-0.09794681,0.587885102,0.579351186,-0.657472181,0.334740822
MiniIPIP_Extraversion,0.795224733,,0.306355986,-0.697718931,-0.592530279,,-0.237662193,-0.829537919,-0.478893613,1,-0.416494659,0.854552181,0.628824815,0.657744685,-0.447101886,-0.90377334,0.447812786,0.622806138,0.405580781,,-0.06271894,0.496006079,0.431978268,0.818064767,0.755757152,0.493794999,0.466711201,,-0.045445561,0.344635584,,,0.220700701,-0.553938417,-0.617301772,,0.12789171
MiniIPIP_Openness,,-0.019033309,-0.38643557,0.367664181,,,,,0.16645387,-0.416494659,1,-0.579590861,,,,,,,,,,,,-0.209625486,,,,-0.196338739,,,0.280821469,,,,,0.064967361,-0.554089374
MiniIPIP_Agreeableness,,0.271611462,0.492068826,-0.69299167,-0.595326965,,-0.295225135,-0.73491117,-0.454382872,0.854552181,-0.579590861,1,0.680300826,0.668341944,-0.395510124,-0.838153317,0.399311954,0.687850375,0.410946135,,-0.095455455,0.396558008,0.358097315,0.683332326,0.6148116,0.519249131,0.392221843,,-0.183708691,0.350221021,-0.574257379,,0.18290848,-0.732281062,,,0.078932443
MiniIPIP_Conscientiousness,,,0.212970269,-0.501644871,-0.567658755,,-0.269177007,,-0.231603687,0.628824815,-0.493303011,0.680300826,1,,-0.301734369,,,,-0.092694133,0.342475544,,,,0.229451988,,,,0.157379957,,-0.051767319,-0.730444359,0.420330569,0.556582843,-0.589571703,,-0.18591418,0.476972529
PANAS_Positive_Affect,0.66610952,0.526946265,0.494234902,-0.858293904,-0.662514059,,-0.211787483,-0.766173775,-0.792040842,,-0.142779875,0.668341944,0.489117933,1,-0.700426301,-0.827262472,0.791419548,0.828161067,0.659388723,,0.054644942,0.560226522,0.6611076,0.745435114,0.684681169,0.802263784,0.509773505,,0.235529991,0.60737942,,,0.005234305,-0.74105631,-0.692928491,0.4345837,-0.371873031
PANAS_Negative_Affect,-0.498592404,-0.774981756,-0.547692117,0.899956348,0.876557942,0.886213967,-0.416054976,0.537048605,0.928489664,,0.188008572,,-0.301734369,-0.700426301,1,0.629826427,-0.911274483,-0.739021196,-0.528017642,,0.075709929,-0.363881987,-0.464826691,-0.571093657,-0.613200992,-0.512802443,,,-0.000647781,-0.368646033,0.581147123,,-0.094095912,0.637082782,0.636740931,,0.139934015
ASRS_ptA_num,-0.828577958,-0.467504421,-0.479368957,0.85316802,0.701502617,,0.262952222,0.940978881,0.62078028,,0.307397586,-0.838153317,-0.670616003,-0.827262472,0.629826427,1,-0.670762057,-0.772560282,-0.476905929,,0.194568369,-0.510272187,-0.4455241,-0.79352694,-0.715823047,-0.64883808,-0.581094716,,-0.10676023,-0.532639781,0.764850186,,-0.109508639,0.796571446,0.767695442,,0.031009312
BRS_mean,0.536642332,0.834257831,0.424411899,-0.853682642,-0.732988294,,0.166487078,-0.584118468,-0.910004651,,-0.018408554,,0.268777809,0.791419548,-0.911274483,-0.670762057,1,0.742101594,0.593645119,,-0.1280339,0.390179744,0.583740211,0.579640372,0.521438722,0.659948456,0.403750259,,0.196594094,0.530159603,,,-0.080797139,-0.639734009,-0.629984776,,-0.314027321
WDQ_Autonomy,0.580404595,0.614048614,0.691269097,-0.863434971,-0.67511577,,-0.086608448,-0.637450096,-0.753538607,,-0.113577446,,0.276550551,0.828161067,-0.739021196,-0.772560282,0.742101594,1,0.847472506,,0.177055364,0.695377585,0.677967126,0.80953222,0.619088874,0.826114699,0.673125997,,0.296674667,0.731078927,-0.428297687,,-0.168223549,-0.81664874,-0.473873135,0.543616622,-0.421360925
WDQ_Task_Variety,0.276495558,0.589139052,0.463342937,-0.601740427,-0.395077976,,-0.147129199,-0.33038976,-0.617943161,,0.128709704,,-0.092694133,0.659388723,-0.528017642,-0.476905929,0.593645119,0.847472506,1,0.610714615,0.483913613,0.753950493,0.841658034,0.758952106,0.503074819,0.846999736,0.599819229,0.644476192,0.517290899,,,0.184621743,-0.404446902,,-0.16351668,0.590057016,-0.580422049
WDQ_Task_Significance,0.644655908,0.335182686,0.52884262,-0.643911381,-0.402418272,,-0.289738734,-0.704090168,-0.441253661,,-0.286228258,0.660428469,0.342475544,0.641467015,-0.36989372,-0.702628985,0.419782158,0.707283704,0.610714615,,0.209921324,0.761249415,0.488278912,0.77857878,0.723860308,0.703220472,0.686203615,0.752449377,0.332365764,0.69530364,-0.366701484,,-0.18708329,-0.69025873,,,-0.261805364
WDQ_Job_Complexity,,,,,0.118522123,,,,,,,-0.095455455,,,,,,0.177055364,,0.209921324,1,0.522159435,0.484343347,,,,,,,0.217374208,,,,0.217698665,0.417328439,0.61505705,-0.589776149
WDQ_Information_Processing,,0.306589472,0.564166827,,,,-0.092715882,-0.417651804,-0.464747638,,-0.03252337,,-0.126751269,0.560226522,-0.363881987,-0.510272187,0.390179744,0.695377585,0.753950493,0.761249415,0.522159435,1,0.560560544,0.86938886,0.714497405,0.696540453,0.835771362,0.638207218,0.593381443,,,0.265142494,-0.456188176,,-0.148938961,0.57417994,-0.530897555
WDQ_Problem_Solving,0.269059989,,0.07898753,-0.474374448,-0.408571531,,-0.221073886,-0.337240753,-0.64121375,,0.269498706,,-0.024477603,0.6611076,-0.464826691,-0.4455241,0.583740211,0.677967126,0.841658034,0.488278912,0.484343347,0.560560544,1,0.683514431,0.500444254,,0.25955285,0.396989513,0.326497082,,,,-0.083892348,,-0.270093389,0.647111258,-0.631370749
WDQ_Skill_Variety,0.678441936,0.45990478,0.495358267,-0.763551997,-0.53621205,,-0.114586725,-0.673387501,-0.664994126,,-0.209625486,,0.229451988,0.745435114,-0.571093657,-0.79352694,0.579640372,0.80953222,0.758952106,0.77857878,0.346611876,0.86938886,0.683514431,1,0.868220646,0.707680048,0.704545316,,0.313331065,0.652465008,,,-0.113083583,-0.564351281,-0.460129798,,-0.315785632
WDQ_Specialization,0.686928916,0.382159319,0.445512723,-0.754586882,-0.620064756,,0.107833368,-0.664505887,-0.678007512,0.755757152,-0.442991012,0.6148116,0.356101086,0.684681169,-0.613200992,-0.715823047,0.521438722,0.619088874,0.503074819,,0.241204702,0.714497405,0.500444254,0.868220646,1,0.527847208,0.484893338,,0.031785157,0.365812556,-0.582288218,,0.124331249,-0.484579723,-0.626169777,,-0.069902707
WDQ_Social_Support,0.357151502,0.612738699,0.473897501,-0.666995306,-0.42812441,-0.450014016,-0.378140982,-0.593900006,-0.566403489,,0.082978491,,0.173403728,0.802263784,-0.512802443,-0.64883808,0.659948456,0.826114699,0.846999736,,0.146308724,0.696540453,0.721342046,0.707680048,0.527847208,1,0.668110306,0.711352634,0.584381257,0.82436746,,0.154528915,-0.465604813,-0.663799264,,0.317707594,-0.491663435
EES_Emotional_Engagement,,0.312324534,0.634177993,,,,-0.169588729,,-0.324030834,,-0.046686018,,-0.02262439,0.509773505,-0.341713027,-0.581094716,0.403750259,0.673125997,0.599819229,,0.19030056,,0.25955285,0.704545316,0.484893338,0.668110306,1,0.704067461,0.67055846,,-0.130102708,0.359577101,-0.59832247,,-0.147296093,0.379125871,-0.353350103
EES_Behavioural_Engagement,0.478629503,0.41309418,0.638928863,,,-0.273260377,-0.332239752,-0.457182134,-0.378347176,,-0.196338739,,0.157379957,,-0.277069463,-0.54944399,0.433105609,0.698912174,0.644476192,,0.171543494,0.638207218,0.396989513,0.596288658,0.332641282,0.711352634,0.704067461,1,0.437777284,,-0.045321352,0.526992369,-0.506890684,,,0.224301372,-0.414996154
EES_Cognitive_Engagement,,,,,,0.154790426,,,,-0.045445561,,-0.183708691,,,,,,0.296674667,0.517290899,,0.259235625,0.593381443,,,0.031785157,0.584381257,0.67055846,0.437777284,1,,,-0.202486332,,,,0.199603275,-0.595346078
EES_Employee_Engagement,0.316280939,0.45246234,0.604893165,,,,-0.297417987,-0.470515751,-0.412740628,,0.149093283,,-0.051767319,0.60737942,-0.368646033,-0.532639781,0.530159603,0.731078927,0.745837602,,0.217374208,0.796117626,0.463048079,0.652465008,0.365812556,0.82436746,0.900716947,0.844264526,0.791500246,,,0.28485409,-0.685740373,,-0.102702476,0.350058248,-0.574771866
Total_Levels_Increased_33_mths,,,-0.22324696,0.645370167,0.618508724,,0.072874749,0.768395481,0.51764684,,0.280821469,-0.574257379,-0.730444359,-0.651364488,0.581147123,0.764850186,-0.583461081,,-0.108950861,-0.366701484,,,-0.23137861,-0.425846386,-0.582288218,,,,,-0.069442738,,-0.160515151,-0.428325758,0.614713592,,,-0.20524535
Org.Tenure,,0.018501511,0.825292004,-0.54053414,,,,,,0.293400109,-0.683103267,0.544170124,,0.313363779,-0.332289473,,0.177774776,,0.184621743,,,,,0.294902722,,0.154528915,0.359577101,,,,-0.160515151,,0.03431675,,,,0.190991887
Position.Tenure,,,,,,,,,,,,0.18290848,,,,,,-0.168223549,,,-0.217541565,,,,0.124331249,-0.465604813,-0.59832247,-0.506890684,-0.760198229,-0.685740373,,0.03431675,,0.013236008,,0.011668901,0.436310236
FTE,-0.638842819,-0.426047753,-0.727698425,0.820145192,0.696341618,,0.184845664,0.751623053,0.587885102,,0.249169129,-0.732281062,-0.589571703,-0.74105631,0.637082782,0.796571446,-0.639734009,-0.81664874,-0.529605493,,0.217698665,-0.407107152,-0.349443931,-0.564351281,-0.484579723,-0.663799264,-0.515543028,,-0.13716844,-0.597677882,0.614713592,,0.013236008,1,,,0.127746582
Promotions_per_year,,,-0.283718068,0.695604878,0.661903245,,0.026354542,0.761862379,0.579351186,,0.31040656,-0.581750646,-0.718078883,-0.692928491,0.636740931,0.767695442,-0.629984776,,-0.16351668,-0.403024132,,,-0.270093389,-0.460129798,-0.626169777,,,,,-0.102702476,,-0.21263931,-0.405971363,0.643282735,,,-0.16405214
EOY2017Rating_int,0.251635377,,0.161867848,-0.490655682,-0.453604016,,,-0.225726946,-0.657472181,,,,-0.18591418,0.4345837,-0.546668716,-0.362985558,0.491825848,0.543616622,,0.305008854,0.61505705,0.57417994,0.647111258,0.676945245,,0.317707594,,,0.199603275,,,,,,-0.074803098,1,-0.463400316
RT,,,,,,,,-0.05375923,,0.12789171,,0.078932443,0.476972529,,,,-0.314027321,-0.421360925,,-0.261805364,-0.589776149,-0.530897555,,,-0.069902707,-0.491663435,-0.353350103,-0.414996154,-0.595346078,,,0.190991887,,,-0.16405214,-0.463400316,1